ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
10.5221,210.395,25515.4584,7.5506,305.393,482.0551,3.8655,59.967,3.4407,0
6.8833,209.3606,26677.8105,9.3103,,390.8509,18.1072,89.5502,4.2494,0
9.1122,194.296,26078.1707,7.3166,466.1976,622.0926,23.6086,84.3132,3.7859,0
7.6028,189.8485,23389.6244,7.5458,299.6398,406.8045,20.9653,67.3379,4.111,0
9.2123,185.8901,4743.4955,6.3106,,355.4679,12.99,59.8523,4.0408,1
7.9778,199.7338,11873.6757,8.3325,306.0698,369.098,12.1655,36.8137,3.4278,1
9.1245,140.9968,27113.4689,7.8544,404.8879,538.5643,14.1676,99.9666,5.0686,0
7.7003,192.0217,18299.6196,9.5479,296.9534,321.3624,17.7019,,3.2472,0
7.7817,228.3856,18058.551,5.8285,317.4328,509.1411,15.341,58.9374,2.8382,1
10.8938,194.7555,22399.1381,7.7893,331.9903,510.1025,2.6072,103.6222,5.0345,0
8.1555,187.6834,27616.9206,4.0643,258.3742,298.3405,7.9066,53.6119,3.6459,1
7.2621,212.8167,14622.9816,5.4488,341.6716,492.2295,14.0027,50.0,5.3053,0
7.5294,176.9199,7233.8782,7.3076,328.8025,406.6944,10.6157,54.0864,4.1222,0
2.1557,163.3885,37597.8995,6.8586,384.9865,517.8911,13.9608,103.7632,3.4526,0
,195.8647,28754.4994,6.8579,,530.1928,11.9442,57.8616,3.8914,0
9.8568,180.308,38660.474,7.2225,344.724,506.0418,14.2046,76.7724,4.4899,0
,185.5804,26452.5566,9.9925,,460.9666,17.9123,73.8577,5.7721,0
10.1933,230.3189,12780.1416,9.4314,392.3648,465.272,14.6108,102.0553,3.6606,0
8.4523,272.7907,30031.3813,10.0392,379.4854,693.7675,26.8452,70.7921,5.5382,0
5.5843,176.3562,19817.2505,7.6916,442.8575,389.6799,13.2898,49.2014,3.6889,1
5.9664,190.2154,21281.8599,5.8416,292.8812,360.1333,13.021,64.2162,3.9631,1
10.6592,143.3936,32902.061,4.3552,364.5903,372.0928,13.9162,71.1544,4.1454,0
6.3838,160.1455,34250.6995,7.0378,321.0097,443.7935,13.6933,48.7549,3.6851,1
,252.468,41827.2685,6.6875,297.8225,410.3206,15.2491,,4.5427,0
8.1956,185.119,17463.9054,8.2069,,392.8512,15.7688,89.0712,5.7745,0
5.623,223.6662,20007.4546,9.0262,,445.006,17.6073,97.2238,4.2978,0
5.4615,235.8739,19948.7763,5.7559,406.4679,396.6169,21.0543,77.6868,4.0465,0
4.8718,214.8629,38123.6119,8.4913,414.8634,418.7623,16.1876,80.3446,3.4032,0
4.8659,196.556,34775.7454,5.7202,246.979,495.5152,15.2943,58.6148,3.0484,1
5.7762,117.8716,26377.9646,4.7325,,469.0244,17.1032,48.1907,5.2814,0
6.8724,220.3128,21548.775,8.0785,426.3659,612.8436,14.6495,55.0794,4.1447,0
7.8405,183.3418,24617.4418,7.0138,317.2195,450.8254,19.2381,67.8914,4.1332,0
9.2907,174.1352,16322.6763,5.0,340.9512,396.1385,16.7241,71.0753,4.0671,0
5.4494,201.6197,22775.1467,6.6138,469.4392,521.74,20.3673,88.7724,3.9332,0
7.5788,194.1301,7125.149,8.7591,,411.2164,16.7815,94.6714,5.0049,0
6.5492,236.022,21350.816,8.1514,394.5423,481.5406,19.5794,98.1371,4.2116,0
8.4131,263.1848,8299.3674,9.8406,,431.2252,24.8689,66.8622,3.3564,0
7.4735,175.6706,13685.3424,3.8439,286.4925,433.4696,8.5428,77.5569,3.8823,1
9.442,188.8528,24338.3488,6.9554,352.3571,620.609,21.92,56.5083,4.1347,0
5.7444,183.9894,17707.3897,8.566,278.5816,487.1242,13.0497,43.627,3.2691,1
8.7822,206.1289,18030.2657,8.3462,311.8093,363.4022,12.7808,72.4257,4.1774,1
5.6228,173.4835,12859.692,8.8457,368.0115,445.4802,20.3579,95.9619,5.8288,0
4.845,227.5836,9671.9689,9.7992,303.3748,262.028,17.2175,74.8962,5.6297,0
9.6006,200.8498,8387.1532,4.4279,336.3431,400.7686,10.9625,35.2184,4.0833,1
5.5261,202.7146,21710.6783,9.2615,,464.2113,17.8214,85.5738,5.2352,0
7.9594,201.2564,37484.844,8.1761,314.9972,484.9641,21.6779,59.5702,6.0152,0
7.9035,220.214,16222.5679,3.3831,352.5396,274.5265,15.6843,53.4268,3.3335,1
7.1404,166.804,29405.9136,6.75,410.4091,413.7276,19.7571,70.6333,4.9857,0
10.1409,232.0265,2746.7198,8.3915,327.8793,554.7877,16.5077,84.7124,5.0906,0
6.7839,164.1489,18721.3993,5.64,297.2201,352.059,11.0457,58.9305,3.0219,1
8.6126,170.6626,23479.4093,9.9032,330.625,413.4823,15.7903,72.8902,4.2463,0
8.0155,215.3272,28795.1697,7.072,407.8148,441.7201,19.8588,73.5703,4.6096,0
,187.6531,22873.4892,5.9041,282.1286,441.5223,14.6281,58.0318,3.37,1
5.07,231.7893,23375.7701,9.1048,334.9339,349.744,16.9247,91.1561,3.4992,0
6.4972,177.6453,8210.4845,8.0,372.7183,435.8409,14.0713,68.534,3.5713,1
8.0399,179.9084,19968.1773,8.2141,321.4216,443.8021,16.195,47.5148,3.2596,1
7.1331,197.7598,22612.9395,4.8147,,576.0613,10.6462,63.2977,3.8579,1
6.2727,208.5666,25130.5972,8.096,280.6421,435.2501,10.6379,68.2018,3.6452,1
8.596,194.7138,30443.6544,4.9676,,500.6768,11.594,43.0394,4.1112,1
7.888,140.8472,27698.475,6.879,331.3597,366.4787,15.498,80.103,5.668,0
,243.9618,18174.5746,7.7268,,508.2142,17.68,72.0007,3.4176,1
10.3274,218.8205,32949.7895,6.9084,329.5701,618.0575,21.6924,95.6284,3.5986,0
8.4316,184.0613,25512.208,8.006,371.6739,235.356,20.437,57.8086,6.2465,0
,139.3797,10052.425,6.8068,317.4732,346.7895,10.7792,65.3304,3.1278,1
7.1275,255.5062,23683.9585,7.4578,273.2489,390.2782,15.3267,84.995,4.14,0
4.8088,201.1461,20326.1549,4.0181,299.2979,688.2166,13.7911,91.5767,3.207,0
7.1826,183.4869,33955.3913,5.5716,336.3683,465.6027,13.3475,75.3074,4.4675,0
7.6356,226.7461,15952.9782,6.8046,373.158,448.6221,15.3889,67.1155,2.9595,0
5.1476,172.1918,29293.6035,8.7715,424.5595,494.7536,18.9203,114.6891,3.9499,0
9.0751,202.6783,24271.627,9.7593,429.1779,483.2072,12.5341,76.8885,4.8082,0
6.4788,228.4483,20652.509,10.6582,352.4777,382.56,16.2049,64.1802,4.2482,0
4.6411,191.2895,17971.838,10.4866,,356.2396,14.1657,57.7286,4.5309,0
,228.5145,21612.1347,7.8915,409.6423,348.6015,11.987,34.6696,3.4462,1
6.052,180.435,16108.4047,6.5012,343.2848,518.0578,21.0575,70.917,3.3767,0
5.2789,170.1931,24128.5636,6.045,388.2625,278.0462,14.3677,96.6534,3.3523,0
7.1581,212.4458,29797.2724,10.9139,381.3718,243.3837,18.6702,51.5967,3.2099,0
8.3297,125.7626,27352.0821,8.9389,,539.6999,18.5661,100.1867,4.1713,0
9.0952,203.745,14025.3818,5.6678,286.1323,445.4769,9.8154,50.0678,3.6621,1
10.3937,196.6946,27984.6191,6.0084,286.2249,317.2041,12.9868,81.3742,3.0884,1
5.0619,213.6015,26198.2167,6.4566,343.4927,365.7845,21.7471,49.7969,5.1126,0
,239.1999,13679.6078,8.6898,377.5989,534.3632,11.8685,66.0298,3.3238,0
6.4537,132.6508,33493.4079,5.0387,371.8397,354.8327,14.603,66.2272,3.4031,1
3.4659,233.8576,28613.5995,8.3535,,532.1453,18.834,93.4074,5.3405,0
8.1144,180.2317,12755.0743,5.9646,,520.5554,11.3226,56.214,4.2931,1
5.4967,165.8448,17408.8213,6.3388,211.0253,408.161,12.0807,77.8983,4.1779,1
6.6205,204.9584,24165.0528,4.9811,331.3918,676.0085,12.0791,53.1333,3.5231,0
,155.2448,24059.2254,7.907,343.8658,507.9343,19.2175,88.9573,4.4632,0
6.7952,161.6348,16117.6959,6.1864,224.1148,453.3763,13.7872,38.7039,2.4454,1
,145.4783,27971.0394,6.0663,216.1606,410.819,11.2922,71.5832,2.9678,1
11.5,184.4568,34878.8587,8.1193,283.2819,365.3191,16.2993,59.6448,4.4313,0
5.2407,179.561,26561.3964,6.4878,344.2785,389.5436,20.0737,43.2735,3.9167,0
8.9309,182.7196,36530.936,6.9551,433.5461,277.0731,11.7524,39.4897,3.8979,1
9.2431,182.2048,37258.2159,8.0121,367.5682,475.62,18.6818,70.2175,4.0008,0
6.4894,196.286,8806.6596,7.9027,290.6954,239.4864,10.2818,77.8647,4.6907,1
5.7453,196.0552,31605.7721,7.4123,370.4413,557.6593,18.0446,96.2294,3.8481,0
6.9055,102.6873,14183.6711,8.4931,307.3756,578.4146,20.734,71.7824,4.4209,0
6.1302,216.4344,30068.5232,5.8915,349.3387,430.0907,15.0297,,2.7931,1
5.9477,220.5841,12641.868,10.153,312.1806,468.6417,15.1118,80.115,3.5822,0
9.5585,221.3187,25063.7658,7.3516,397.8821,490.7064,14.8934,52.758,4.4157,0
,175.1858,25230.2749,9.243,401.1975,292.9729,14.8125,90.8183,3.6014,0
4.3812,188.2105,29695.9497,6.2821,276.6171,250.5935,15.5753,102.0669,4.1253,0
3.6276,193.3783,25933.2315,6.0939,426.6309,359.733,18.457,93.0395,4.5996,0
8.2929,186.7821,11921.6602,7.4536,325.1673,288.3091,9.2847,76.183,2.3446,1
5.8623,147.9272,24287.4713,8.445,367.1941,473.5631,10.0,89.1362,4.4731,0
8.4909,198.298,29836.1112,5.4796,371.9703,387.8203,15.3441,63.1973,3.1315,1
6.4744,180.0964,18108.2096,5.3276,419.8259,348.7546,11.4185,41.7718,3.5463,1
8.9179,160.0563,33142.6742,7.5083,330.4271,453.0253,11.4831,79.2754,4.8919,0
5.4829,186.3383,19731.7326,6.5225,303.8426,345.9185,10.1047,68.7524,3.6408,1
8.7318,204.393,20157.5295,8.6859,377.9171,525.3044,11.9756,63.1926,5.0929,0
7.2499,156.8304,19834.3035,5.3399,371.9488,525.6003,10.9617,70.5356,5.2089,0
4.6152,186.8697,25175.9698,5.3648,369.9086,488.0366,18.0145,70.0608,4.3231,0
7.0332,182.719,10084.0087,6.6921,285.0703,507.239,15.9899,64.1124,2.6181,1
9.0235,173.923,23178.5382,3.2442,280.3461,680.6887,17.3128,81.7054,3.0535,0
6.9808,209.7329,20892.5258,4.9463,312.3935,462.5628,13.9123,45.5887,3.2207,1
7.7513,154.8504,23169.7182,4.5522,327.7553,361.6474,9.6262,59.386,3.3557,1
8.1229,195.958,28250.8493,7.9901,,354.8279,18.3718,99.6694,5.468,0
3.1901,251.2621,22976.0889,6.3075,307.3211,342.1283,12.4832,28.8863,4.054,1
5.8559,237.7995,26307.3877,7.3057,224.3417,289.3078,16.3648,49.5721,3.3363,0
6.1558,171.3455,20129.6566,9.0077,287.7712,419.4883,20.5601,56.0033,5.2307,0
6.2089,154.8138,22115.6931,10.9794,343.8208,414.4779,12.1113,74.4787,4.506,0
,196.2515,22940.1844,6.8265,,549.659,10.6245,62.3741,3.2723,0
3.071,253.6558,21403.3885,7.9719,384.6366,432.7766,10.7674,75.5398,3.3302,0
7.1634,187.4885,6869.1491,6.2771,311.9015,455.1831,11.3011,19.0328,3.332,1
,159.4091,40689.948,7.247,347.0391,397.6795,13.4149,,3.4704,1
7.2044,209.9411,25245.4218,7.6897,324.3461,249.7321,13.1639,65.082,3.3645,1
,225.4094,10587.2606,9.8704,355.0961,435.4725,15.4741,95.7565,5.4928,0
7.9923,265.6614,8009.6604,8.5426,325.3133,312.9943,16.512,68.0757,3.8596,0
7.8144,209.6756,20172.1407,8.5338,,555.6755,10.0,57.5159,4.2362,0
6.4781,180.8657,30870.8722,9.3474,361.3747,425.1948,12.7326,58.2667,5.605,0
4.5491,196.3201,16595.6658,6.6615,343.4207,289.1414,11.5291,36.2404,2.5158,1
7.3861,219.4226,41738.7281,6.4411,373.8393,477.8518,13.059,79.0334,3.2346,0
6.9345,184.4931,20644.3494,8.6241,394.7814,326.4041,17.1079,86.014,3.6479,0
6.4115,194.7328,406.8379,5.1445,334.5125,445.3827,13.7888,63.985,2.9898,1
5.7616,200.5111,14769.3463,8.125,388.8976,450.1233,13.2839,28.9165,2.7631,1
5.345,192.9371,28117.4822,6.6406,,430.9553,14.2645,82.5451,3.3701,0
6.9127,184.1154,20719.1216,6.3419,414.1923,577.0481,14.4027,68.4806,3.2233,0
10.4175,242.3427,14290.7122,6.9965,,512.868,11.3193,74.7324,4.5253,0
7.6163,158.8058,6282.465,6.5158,344.4163,428.8191,9.6167,75.5468,1.9165,1
7.9555,191.3752,42615.5538,8.229,354.0419,505.5377,16.5145,101.894,3.4898,0
5.5867,274.0234,29083.872,9.2005,,515.9807,18.9916,53.0634,4.7742,0
6.3833,175.6777,12844.6272,5.8236,293.1265,499.0096,11.1903,41.7241,2.7506,1
6.1566,232.3516,23785.7835,6.7039,,349.1325,13.7602,57.3148,4.6958,0
9.933,146.5031,29958.679,5.0104,406.944,518.0799,12.8817,67.4654,4.1681,0
5.0437,157.2937,20906.9032,5.0249,,473.1248,9.8756,79.2239,1.7833,1
6.3289,129.346,21963.1635,6.0791,,473.5164,13.0286,64.7604,3.6913,1
8.6367,206.8073,17641.024,11.8854,,464.3629,22.9288,91.2744,3.8728,0
8.5779,195.5589,19785.9284,6.9046,335.1437,333.3129,13.4872,95.5622,5.9864,0
,187.759,24262.789,8.5767,,490.1788,11.9146,50.0,3.521,0
,247.1765,24247.7499,10.5421,,519.9629,18.3419,,3.1556,0
,246.933,26317.0145,4.3531,,416.2677,8.3003,43.4264,3.8271,1
6.0151,239.8739,17812.7896,5.4698,,453.3786,16.5706,76.225,3.9071,0
7.1591,142.4923,17860.049,7.757,,412.802,17.9573,52.1049,4.1105,1
7.3313,160.5309,15019.6544,6.01,334.3681,493.0091,13.1797,41.1634,2.3636,1
7.0385,148.7979,31924.9953,4.3989,287.195,610.5107,11.3785,48.2913,3.0751,1
,245.7311,24505.1898,6.1254,355.6904,344.8529,8.9144,42.8237,4.6652,1
4.5292,123.1522,16594.2332,7.5705,340.8688,455.4792,17.0087,74.9943,4.3105,0
6.2834,158.6144,4555.7236,7.2166,,384.235,17.5904,41.0146,3.6683,0
4.7474,258.1519,1556.954,8.1049,,466.7109,15.7076,94.2067,5.0701,0
7.1701,196.6981,15521.5007,4.6937,301.2277,351.6126,15.8133,84.8211,4.6028,1
9.0534,224.1867,26973.6902,6.9831,,440.4361,14.255,44.6431,3.5589,1
7.6194,237.2505,26508.3495,6.8696,372.3405,536.0281,16.1705,66.675,4.3637,0
4.9228,179.2998,25418.8758,4.8345,366.5972,391.7895,14.3009,66.2498,4.9651,1
9.2411,186.6062,22278.9847,7.2595,311.0567,426.5785,10.6498,62.4225,3.5742,1
8.2113,220.2842,17461.3064,6.9736,315.2529,321.1714,10.0548,70.184,4.1935,1
7.0743,207.8932,11118.8354,6.6979,346.5179,439.1985,11.5474,57.5209,4.19,1
8.3203,239.853,12908.7148,7.3569,311.4809,406.7766,19.7494,79.348,3.7955,0
9.3128,190.0362,20211.7816,7.4232,383.2848,562.1584,18.4234,79.5369,4.4145,0
9.9599,219.7007,7775.1171,5.8601,350.835,321.6485,16.4964,69.026,4.1528,0
7.8923,204.7429,19719.4302,6.1542,295.7212,448.4408,13.4459,48.7785,3.3594,1
4.4141,167.826,29890.9559,7.4149,359.6496,480.1156,13.634,97.4295,3.6644,0
6.5628,217.697,15863.3514,5.2169,332.6687,401.6837,22.8664,,4.1417,0
8.697,213.4399,23558.7102,8.2078,346.1747,545.1785,16.2204,77.1804,5.1956,0
8.4272,179.7561,21218.8213,5.4127,398.4777,558.5957,16.1068,94.1539,4.5233,0
8.3595,227.5129,25899.0547,8.9856,339.3809,387.1425,20.9536,89.182,3.7406,0
8.7711,192.1862,27932.407,5.7606,338.4434,402.3166,12.2792,60.7272,3.878,1
7.2731,155.8361,25686.3124,5.1731,419.4994,426.3619,17.8642,95.984,5.036,0
6.8653,135.7533,20350.7954,10.6065,,315.4999,20.6743,56.236,4.6169,0
,194.9288,20770.6861,6.6612,403.9776,304.6424,7.3379,72.5286,3.6647,1
3.516,190.9858,12855.6326,11.6521,378.3804,480.3885,19.0683,64.7674,2.6586,0
7.5452,242.8492,25882.1599,9.1956,354.1008,455.623,24.9998,96.3314,4.7638,0
5.0537,200.1387,22380.0,5.8924,,420.1797,12.3824,47.5012,3.2573,1
11.2427,210.387,22879.4917,11.0632,361.2495,440.4888,14.1796,94.8372,4.0796,0
7.5009,236.15,27027.7861,5.8875,,340.5028,10.399,80.4642,4.1767,0
,197.1521,32988.7008,11.1478,341.5514,285.8199,13.9041,108.8108,5.6895,0
7.5009,221.9182,18442.6546,5.8924,301.9564,368.0114,15.8562,36.2543,2.6186,1
7.8275,175.0729,18831.3036,5.4836,329.8994,387.9491,11.9768,74.5798,4.0063,1
5.7976,185.1773,38497.1957,9.8019,,181.0,18.5299,50.1682,4.8561,0
7.9881,216.992,28825.9703,9.2764,265.6176,286.3898,19.8819,70.2311,6.0558,0
7.2333,238.3013,13604.0156,6.5228,327.077,367.2995,16.137,55.1441,4.3178,0
4.3852,190.9721,24451.1144,5.5074,325.8109,594.7419,11.0612,69.344,4.4249,0
6.3852,228.9763,11101.0751,8.7551,276.4613,393.9224,19.8306,52.8901,5.5394,0
7.2037,161.788,39097.7675,5.3029,374.6938,501.711,18.5082,,3.2593,1
